index,value
"1994-02-01 00:00:00",9748.16
"1994-03-01 00:00:00",9748.16
"1994-04-01 00:00:00",9881.38
"1994-05-01 00:00:00",9881.38
"1994-06-01 00:00:00",9881.38
"1994-07-01 00:00:00",9939.66
"1994-08-01 00:00:00",9939.66
"1994-09-01 00:00:00",9939.66
"1994-10-01 00:00:00",10052.5
"1994-11-01 00:00:00",10052.5
"1994-12-01 00:00:00",10052.5
"1995-01-01 00:00:00",10086.9
"1995-02-01 00:00:00",10086.9
"1995-03-01 00:00:00",10086.9
"1995-04-01 00:00:00",10122.1
"1995-05-01 00:00:00",10122.1
"1995-06-01 00:00:00",10122.1
"1995-07-01 00:00:00",10208.8
"1995-08-01 00:00:00",10208.8
"1995-09-01 00:00:00",10208.8
"1995-10-01 00:00:00",10281.2
"1995-11-01 00:00:00",10281.2
"1995-12-01 00:00:00",10281.2
"1996-01-01 00:00:00",10348.7
"1996-02-01 00:00:00",10348.7
"1996-03-01 00:00:00",10348.7
"1996-04-01 00:00:00",10529.4
"1996-05-01 00:00:00",10529.4
"1996-06-01 00:00:00",10529.4
"1996-07-01 00:00:00",10626.8
"1996-08-01 00:00:00",10626.8
"1996-09-01 00:00:00",10626.8
"1996-10-01 00:00:00",10739.1
"1996-11-01 00:00:00",10739.1
"1996-12-01 00:00:00",10739.1
"1997-01-01 00:00:00",10820.9
"1997-02-01 00:00:00",10820.9
"1997-03-01 00:00:00",10820.9
"1997-04-01 00:00:00",10984.2
"1997-05-01 00:00:00",10984.2
"1997-06-01 00:00:00",10984.2
"1997-07-01 00:00:00",11124
"1997-08-01 00:00:00",11124
"1997-09-01 00:00:00",11124
"1997-10-01 00:00:00",11210.3
"1997-11-01 00:00:00",11210.3
"1997-12-01 00:00:00",11210.3
"1998-01-01 00:00:00",11321.2
"1998-02-01 00:00:00",11321.2
"1998-03-01 00:00:00",11321.2
"1998-04-01 00:00:00",11431
"1998-05-01 00:00:00",11431
"1998-06-01 00:00:00",11431
"1998-07-01 00:00:00",11580.6
"1998-08-01 00:00:00",11580.6
"1998-09-01 00:00:00",11580.6
"1998-10-01 00:00:00",11770.7
"1998-11-01 00:00:00",11770.7
"1998-12-01 00:00:00",11770.7
"1999-01-01 00:00:00",11864.7
"1999-02-01 00:00:00",11864.7
"1999-03-01 00:00:00",11864.7
"1999-04-01 00:00:00",11962.5
"1999-05-01 00:00:00",11962.5
"1999-06-01 00:00:00",11962.5
"1999-07-01 00:00:00",12113.1
"1999-08-01 00:00:00",12113.1
"1999-09-01 00:00:00",12113.1
"1999-10-01 00:00:00",12323.3
"1999-11-01 00:00:00",12323.3
"1999-12-01 00:00:00",12323.3
"2000-01-01 00:00:00",12359.1
"2000-02-01 00:00:00",12359.1
"2000-03-01 00:00:00",12359.1
"2000-04-01 00:00:00",12592.5
"2000-05-01 00:00:00",12592.5
"2000-06-01 00:00:00",12592.5
"2000-07-01 00:00:00",12607.7
"2000-08-01 00:00:00",12607.7
"2000-09-01 00:00:00",12607.7
"2000-10-01 00:00:00",12679.3
"2000-11-01 00:00:00",12679.3
"2000-12-01 00:00:00",12679.3
"2001-01-01 00:00:00",12643.3
"2001-02-01 00:00:00",12643.3
"2001-03-01 00:00:00",12643.3
"2001-04-01 00:00:00",12710.3
"2001-05-01 00:00:00",12710.3
"2001-06-01 00:00:00",12710.3
"2001-07-01 00:00:00",12670.1
"2001-08-01 00:00:00",12670.1
"2001-09-01 00:00:00",12670.1
"2001-10-01 00:00:00",12705.3
"2001-11-01 00:00:00",12705.3
"2001-12-01 00:00:00",12705.3
"2002-01-01 00:00:00",12822.3
"2002-02-01 00:00:00",12822.3
"2002-03-01 00:00:00",12822.3
"2002-04-01 00:00:00",12893
"2002-05-01 00:00:00",12893
"2002-06-01 00:00:00",12893
"2002-07-01 00:00:00",12955.8
"2002-08-01 00:00:00",12955.8
"2002-09-01 00:00:00",12955.8
"2002-10-01 00:00:00",12964
"2002-11-01 00:00:00",12964
"2002-12-01 00:00:00",12964
"2003-01-01 00:00:00",13031.2
"2003-02-01 00:00:00",13031.2
"2003-03-01 00:00:00",13031.2
"2003-04-01 00:00:00",13152.1
"2003-05-01 00:00:00",13152.1
"2003-06-01 00:00:00",13152.1
"2003-07-01 00:00:00",13372.4
"2003-08-01 00:00:00",13372.4
"2003-09-01 00:00:00",13372.4
"2003-10-01 00:00:00",13528.7
"2003-11-01 00:00:00",13528.7
"2003-12-01 00:00:00",13528.7
"2004-01-01 00:00:00",13606.5
"2004-02-01 00:00:00",13606.5
"2004-03-01 00:00:00",13606.5
"2004-04-01 00:00:00",13706.2
"2004-05-01 00:00:00",13706.2
"2004-06-01 00:00:00",13706.2
"2004-07-01 00:00:00",13830.8
"2004-08-01 00:00:00",13830.8
"2004-09-01 00:00:00",13830.8
"2004-10-01 00:00:00",13950.4
"2004-11-01 00:00:00",13950.4
"2004-12-01 00:00:00",13950.4
"2005-01-01 00:00:00",14099.1
"2005-02-01 00:00:00",14099.1
"2005-03-01 00:00:00",14099.1
"2005-04-01 00:00:00",14172.7
"2005-05-01 00:00:00",14172.7
"2005-06-01 00:00:00",14172.7
"2005-07-01 00:00:00",14291.8
"2005-08-01 00:00:00",14291.8
"2005-09-01 00:00:00",14291.8
"2005-10-01 00:00:00",14373.4
"2005-11-01 00:00:00",14373.4
"2005-12-01 00:00:00",14373.4
"2006-01-01 00:00:00",14546.1
"2006-02-01 00:00:00",14546.1
"2006-03-01 00:00:00",14546.1
"2006-04-01 00:00:00",14589.6
"2006-05-01 00:00:00",14589.6
"2006-06-01 00:00:00",14589.6
"2006-07-01 00:00:00",14602.6
"2006-08-01 00:00:00",14602.6
"2006-09-01 00:00:00",14602.6
"2006-10-01 00:00:00",14716.9
"2006-11-01 00:00:00",14716.9
"2006-12-01 00:00:00",14716.9
"2007-01-01 00:00:00",14726
"2007-02-01 00:00:00",14726
"2007-03-01 00:00:00",14726
"2007-04-01 00:00:00",14838.7
"2007-05-01 00:00:00",14838.7
"2007-06-01 00:00:00",14838.7
"2007-07-01 00:00:00",14938.5
"2007-08-01 00:00:00",14938.5
"2007-09-01 00:00:00",14938.5
"2007-10-01 00:00:00",14991.8
"2007-11-01 00:00:00",14991.8
"2007-12-01 00:00:00",14991.8
"2008-01-01 00:00:00",14889.5
"2008-02-01 00:00:00",14889.5
"2008-03-01 00:00:00",14889.5
"2008-04-01 00:00:00",14963.4
"2008-05-01 00:00:00",14963.4
